lat,lng,,IN_FID,loc,Street Address,City,State,Zip Code,Cross Streets,Phone Number,Closed_Renovations,Sunday Open,Sunday Close,Monday  Open,Monday  Close,Tuesday  Open,Tuesday Close,Wednesday Open,Wednesday  Close,Thursday Open,Thursday Close,Friday Open,Friday  Close,Saturday Open,Saturday  Close,Library,Adult_Education,LEAP_After_School_Program,Baby_changing_station,Bicycle_rack,Book_drop_box,Change_machine,Children's_only_restroom,Computer_lab,Computers_for_public_use,Electrical_outlets_available,Handicapped_Accessible,Meeting_space_(reservation_required),Pay_Phone,Parking_lot,Photocopier_(black/white),Printing_(black/white),Public_restrooms,Screen_magnify_tools_,Screen-reading_software_(JAWS),Self-service_check-out,Street_parking,Street_parking_(free),Street_parking_(metered),Water_fountain,Wireless_internet_access_(wi/fi),Facebook,Newsletter,Twitter,Library_Website,X54,Branch,Initials,P_1,P_2,avg_days,Med_days,se16,oc16,Sum,Pre_16,School_16,Child_Sum,Teen_16,Sum_Read1,Sum_Read2,NISV_14,NISV_15,NISV_16,NISV_Total,AISV_14,AISV_15,AISV_16,AISV_TOT,NISRP_14,NISRP_15,NISRP_16,NISRP_tot,AISRP_14,AISRP_15,AISRP_16,AISRP_tot,NPIP_14,NPIP_15,NPIP_16,NPIP_tot,APIP_14,APIP_15,APIP_16,APIP_tot,NOSV_14,NOSV_15,NOSV_16,NOSV_tot,AOSV_14,AOSV_15,AOSV_16,AOSV_tot,NOSRP_14,NOSRP_15,NOSRP_16,NOSRP_tot,AOSRP_14,AOSRP_15,AOSRP_16,AOSRP_tot,NPOP_14,NPOP_15,NPOP_16,NPOP_17,APOP_14,APOP_15,APOP_16,APOP_tot,Rowid_.x,OBJECTID.x,NEAR_FID.x,NEAR_DIST.x,near_dhs,Rowid_.y,OBJECTID.y,NEAR_FID.y,NEAR_DIST.y,near_ppr_asset,Rowid_.x,OBJECTID.x,NEAR_FID.x,NEAR_DIST.x,near_pools,Rowid_.y,OBJECTID.y,NEAR_FID.y,NEAR_DIST.y,near_pal.x,Rowid_.x,OBJECTID.x,NEAR_FID.x,NEAR_DIST.x,near_ppr_ost,Rowid_.y,OBJECTID.y,NEAR_FID.y,NEAR_DIST.y,near_pal.y
39.945866,-75.240266,1,0,Blanche A. Nixon/Cobbs Creek Library,5800 Cobbs Creek Parkway,Philadelphia,PA,19143-3036,59th St. & Baltimore Ave.,215-685-1973,n/a,Closed,Closed,12:00,20:00,10:00:00,18:00:00,12:00:00,20:00:00,10:00:00,18:00:00,10:00,17:00,10:00,17:00,Blanche A. Nixon/Cobbs Creek Library,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,n/a,0,n/a,https://libwww.freelibrary.org/locations/andorra-library,NA,Blanche A. Nixon/Cobbs Creek Library,COB,31,31,1.13,1,35,NA,35,50,259,309,37,346,346,30,30,15,75,496,315,195,1006,4,17,1,22,25,225,4,254,43,51,19,113,700,575,242,1517,3,4,3,10,50,107,49,206,0,0,0,0,0,0,0,0,5,4,9,18,170,107,124,401,NA,0,1540,622.8023471,622.8023471,NA,0,9,611.7525265,611.7525265,NA,0,58,1988.640619,1988.640619,NA,0,2,6513.500586,6513.500586,NA,0,13,1687.898409,1687.898409,NA,0,2,6513.500586,6513.500586
40.064104,-75.239471,2,1,Andorra Library,705 East Cathedral Road,Philadelphia,PA,19128-2106,Henry Ave. & Cathedral Rd.,215-685-2552,n/a,13:00,17:00,10:00,18:00,12:00:00,20:00:00,10:00:00,18:00:00,12:00:00,20:00:00,10:00,17:00,Closed,Closed,Andorra Library,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,http://www.facebook.com/AndorraBranch,0,n/a,https://libwww.freelibrary.org/locations/andorra-library,NA,Andorra Library,AND,34,34,4,2,53,83,136,39,85,124,38,162,162,0,2,0,2,0,60,0,60,0,2,0,2,0,66,0,66,16,63,59,138,151,1249,1462,2862,0,5,1,6,0,164,31,195,0,0,1,1,0,0,23,23,1,7,3,11,44,235,89,368,NA,0,719,169.9301903,169.9301903,NA,0,187,1209.711535,1209.711535,NA,0,2,11381.24052,11381.24052,NA,0,12,22714.96497,22714.96497,NA,0,32,11272.98841,11272.98841,NA,0,12,22714.96497,22714.96497
40.038228,-75.078597,3,2,Bushrod Library,6304 Castor Avenue,Philadelphia,PA,19149-2731,Castor Ave. & Stirling St.,215-685-1471,n/a,Closed,Closed,10:00,18:00,12:00:00,20:00:00,10:00:00,18:00:00,12:00:00,20:00:00,10:00,17:00,Closed,Closed,Bushrod,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,https://www.facebook.com/BushrodLibrary,0,n/a,https://libwww.freelibrary.org/locations/bushrod-library,NA,Bushrod,BHR,40,37,6.03,3,115,108,223,NA,NA,367,7,7,374,0,4,0,4,0,124,0,124,0,0,14,14,0,0,182,182,7,36,26,69,109,857,357,1323,0,0,0,0,0,0,0,0,0,0,1,1,0,0,19,19,0,2,1,3,0,29,19,48,NA,0,1239,359.8926812,359.8926812,NA,0,147,1270.566562,1270.566562,NA,0,29,2264.957824,2264.957824,NA,0,11,2951.440093,2951.440093,NA,0,43,2386.956161,2386.956161,NA,0,11,2951.440093,2951.440093
40.108254,-75.026336,4,3,Bustleton Library,10199 Bustleton Avenue,Philadelphia,PA,19116-3718,Verree Rd. & Bustleton Ave.,215-685-0472,n/a,13:00,17:00,12:00,20:00,10:00:00,18:00:00,12:00:00,20:00:00,10:00:00,18:00:00,10:00,17:00,10:00,17:00,Bustleton Library,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,https://www.facebook.com/Bustleton-Branch-Free-Library-of-Philadelphia-110352662374069/,1,n/a,https://libwww.freelibrary.org/locations/bustleton-library,NA,Bustleton Library,BUS,28,28,7.18,7,75,126,201,128,236,364,93,457,457,1,0,0,1,60,0,0,60,0,0,1,1,0,0,27,27,10,6,2,18,133,56,31,220,2,0,0,2,45,0,0,45,1,1,0,2,16,97,0,113,4,4,0,8,68,136,0,204,NA,0,1384,1211.411208,1211.411208,NA,0,175,2270.027689,2270.027689,NA,0,19,3332.654537,3332.654537,NA,0,6,25972.4396,25972.4396,NA,0,28,2468.758849,2468.758849,NA,0,6,25972.4396,25972.4396
39.98063,-75.172829,5,4,Cecil B. Moore Library,2320 Cecil B. Moore Avenue,Philadelphia,PA,19121-2927,Cecil B. Moore & 23rd Street,"215-685-2766",n/a,Closed,Closed,10:00,18:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00,17:00,10:00,17:00,Cecil B. Moore Library,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,n/a,0,n/a,https://libwww.freelibrary.org/locations/cecil-b-moore-library,NA,Cecil B. Moore Library,CBM,38,35,5.91,4,89,118,207,NA,NA,0,0,0,0,1,4,2,7,24,88,85,197,2,20,2,24,50,253,47,350,40,106,42,188,614,1604,866,3084,12,0,1,13,199,0,12,211,0,0,0,0,0,0,0,0,29,8,13,50,490,122,346,958,NA,0,946,443.1242677,443.1242677,NA,0,366,151.247108,151.247108,NA,0,53,2939.825965,2939.825965,NA,0,3,7257.054397,7257.054397,NA,0,77,151.4611279,151.4611279,NA,0,3,7257.054397,7257.054397
39.964181,-75.190458,6,5,Charles L. Durham Library,3320 Haverford Avenue,Philadelphia,PA,19104-2021,34th St. & Haverford Ave.,215-685-7436,n/a,Closed,Closed,10:00,18:00,11:00:00,19:00:00,10:00:00,18:00:00,11:00:00,19:00:00,10:00,17:00,10:00,17:00,Charles L. Durham Library,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,n/a,1,n/a,https://libwww.freelibrary.org/locations/charles-l-durham-library,NA,Charles L. Durham Library,DUR,14,11,1,1,11,NA,11,57,77,134,4,138,138,14,5,1,0,216,91,18,325,1,0,6,7,10,0,102,112,33,16,50,99,524,300,752,1576,9,3,0,12,144,64,0,208,0,0,0,0,0,0,0,0,10,9,1,20,164,149,17,330,NA,0,545,18.49102239,18.49102239,NA,0,1031,445.7245586,445.7245586,NA,0,41,820.4465331,820.4465331,NA,0,0,590.4037115,590.4037115,NA,0,48,655.3489287,655.3489287,NA,0,0,590.4037115,590.4037115
39.937395,-75.154969,7,6,Charles Santore Library,932 South 7th Street,Philadelphia,PA,19147-2932,7th & Carpenter Sts.,"215-686-1766",n/a,Closed,Closed,12:00,20:00,10:00:00,18:00:00,12:00:00,20:00:00,10:00:00,18:00:00,10:00,17:00,10:00,17:00,Charles Santore Library,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,https://www.facebook.com/CharlesSantoreLibrary/,0,n/a,https://libwww.freelibrary.org/locations/charles-santore-library,NA,Charles Santore Library,SAN,14,1,5,5,NA,5,5,120,355,475,11,486,486,1,0,0,20,20,0,0,20,9,17,29,55,433,917,1329,2679,144,154,223,521,7274,8290,10024,25588,0,0,4,4,0,0,229,229,0,0,11,11,0,0,672,672,30,32,63,125,1133,1343,3161,5637,NA,0,174,1054.272618,1054.272618,NA,0,405,768.9230157,768.9230157,NA,0,63,2364.599836,2364.599836,NA,0,5,5239.801492,5239.801492,NA,0,54,1853.502976,1853.502976,NA,0,5,5239.801492,5239.801492
40.077255,-75.208755,8,7,Chestnut Hill Library,8711 Germantown Avenue,Philadelphia,PA,19118-2716,Germantown Ave. & Bethlehem Pike,"215-685-9290",n/a,Closed,Closed,13:00,21:00,10:00:00,18:00:00,13:00:00,21:00:00,10:00:00,18:00:00,10:00,17:00,10:00,17:00,Chestnut Hill Library,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/FLPChestnutHill/,1,n/a,https://libwww.freelibrary.org/locations/chestnut-hill-library,NA,Chestnut Hill Library,CHH,28,27,7.78,4,72,138,210,59,166,225,6,231,231,4,22,0,1,96,388,0,484,0,0,0,0,0,0,0,0,82,112,81,275,1766,2635,1933,6334,0,1,0,1,0,17,0,17,2,0,0,2,41,0,0,41,2,4,1,7,41,52,40,133,NA,0,1458,251.4417909,251.4417909,NA,0,246,1382.562446,1382.562446,NA,0,25,1740.064406,1740.064406,NA,0,12,7406.213488,7406.213488,NA,0,5,2502.924873,2502.924873,NA,0,12,7406.213488,7406.213488
40.046762,-75.150895,9,8,David Cohen Ogontz Library,6017 Ogontz Avenue,Philadelphia,PA,19141,Church Lane & Ogontz Ave.,215-685-3566,n/a,Closed,Closed,12:00,20:00,10:00:00,18:00:00,12:00:00,20:00:00,10:00:00,18:00:00,10:00,17:00,Closed,Closed,David Cohen Ogontz Library,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,n/a,0,n/a,https://libwww.freelibrary.org/locations/david-cohen-ogontz-library,NA,David Cohen Ogontz Library,OGN,25,19,3,1,31,26,57,32,179,211,15,226,226,0,1,0,26,0,21,0,21,4,1,0,5,64,15,0,79,43,20,7,70,543,293,125,961,0,1,0,1,0,44,0,44,1,0,0,1,30,0,0,30,1,6,3,10,30,217,169,416,NA,0,839,18.13974984,18.13974984,NA,0,140,1683.363431,1683.363431,NA,0,24,15424.67132,15424.67132,NA,0,12,19666.64321,19666.64321,NA,0,74,2198.54344,2198.54344,NA,0,12,19666.64321,19666.64321
39.9059349,-75.2403309,10,9,Eastwick Library,2851 Island Avenue,Philadelphia,PA,19153-2314,Island Ave. & Lindbergh Blvd.,215-685-4170,n/a,Closed,Closed,12:00,20:00,10:00:00,18:00:00,12:00:00,20:00:00,10:00:00,18:00:00,10:00,17:00,10:00,17:00,Eastwick Library,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,n/a,0,n/a,https://libwww.freelibrary.org/locations/eastwick-library,NA,Eastwick Library,ESW,28,NA,NA,NA,NA,NA,NA,56,177,233,94,327,327,43,39,15,1,508,315,250,1073,6,6,3,15,37,87,30,154,70,53,50,173,643,441,620,1704,1,0,10,11,26,0,95,121,0,0,0,0,0,0,0,0,1,0,15,16,26,0,146,172,NA,0,301,313.5075457,313.5075457,NA,0,129,599.271032,599.271032,NA,0,32,4774.007521,4774.007521,NA,0,14,9819.491971,9819.491971,NA,0,22,4831.767889,4831.767889,NA,0,14,9819.491971,9819.491971
