,NISV_14,NISV_15,NISV_16,NISV_Total,AISV_14,AISV_15,AISV_16,AISV_TOT,NISRP_14,NISRP_15,NISRP_16,NISRP_tot,AISRP_14,AISRP_15,AISRP_16,AISRP_tot,NPIP_14,NPIP_15,NPIP_16,NPIP_tot,APIP_14,APIP_15,APIP_16,APIP_tot,NOSV_14,NOSV_15,NOSV_16,NOSV_tot,AOSV_14,AOSV_15,AOSV_16,AOSV_tot,NOSRP_14,NOSRP_15,NOSRP_16,NOSRP_tot,AOSRP_14,AOSRP_15,AOSRP_16,AOSRP_tot,NPOP_14,NPOP_15,NPOP_16,NPOP_17,APOP_14,APOP_15,APOP_16,APOP_tot,near_dhs,near_ppr_asset,near_pools,near_pal.x,near_ppr_ost
Blanche A. Nixon/Cobbs Creek Library,30,30,15,75,496,315,195,1006,4,17,1,22,25,225,4,254,43,51,19,113,700,575,242,1517,3,4,3,10,50,107,49,206,0,0,0,0,0,0,0,0,5,4,9,18,170,107,124,401,622.8023471,611.7525265,1988.640619,6513.500586,1687.898409
Andorra Library,0,2,0,2,0,60,0,60,0,2,0,2,0,66,0,66,16,63,59,138,151,1249,1462,2862,0,5,1,6,0,164,31,195,0,0,1,1,0,0,23,23,1,7,3,11,44,235,89,368,169.9301903,1209.711535,11381.24052,22714.96497,11272.98841
Bushrod Library,0,4,0,4,0,124,0,124,0,0,14,14,0,0,182,182,7,36,26,69,109,857,357,1323,0,0,0,0,0,0,0,0,0,0,1,1,0,0,19,19,0,2,1,3,0,29,19,48,359.8926812,1270.566562,2264.957824,2951.440093,2386.956161
Bustleton Library,1,0,0,1,60,0,0,60,0,0,1,1,0,0,27,27,10,6,2,18,133,56,31,220,2,0,0,2,45,0,0,45,1,1,0,2,16,97,0,113,4,4,0,8,68,136,0,204,1211.411208,2270.027689,3332.654537,25972.4396,2468.758849
Cecil B. Moore Library,1,4,2,7,24,88,85,197,2,20,2,24,50,253,47,350,40,106,42,188,614,1604,866,3084,12,0,1,13,199,0,12,211,0,0,0,0,0,0,0,0,29,8,13,50,490,122,346,958,443.1242677,151.247108,2939.825965,7257.054397,151.4611279
Charles L. Durham Library,14,5,1,0,216,91,18,325,1,0,6,7,10,0,102,112,33,16,50,99,524,300,752,1576,9,3,0,12,144,64,0,208,0,0,0,0,0,0,0,0,10,9,1,20,164,149,17,330,18.49102239,445.7245586,820.4465331,590.4037115,655.3489287
Charles Santore Library,1,0,0,20,20,0,0,20,9,17,29,55,433,917,1329,2679,144,154,223,521,7274,8290,10024,25588,0,0,4,4,0,0,229,229,0,0,11,11,0,0,672,672,30,32,63,125,1133,1343,3161,5637,1054.272618,768.9230157,2364.599836,5239.801492,1853.502976
Chestnut Hill Library,4,22,0,1,96,388,0,484,0,0,0,0,0,0,0,0,82,112,81,275,1766,2635,1933,6334,0,1,0,1,0,17,0,17,2,0,0,2,41,0,0,41,2,4,1,7,41,52,40,133,251.4417909,1382.562446,1740.064406,7406.213488,2502.924873
David Cohen Ogontz Library,0,1,0,26,0,21,0,21,4,1,0,5,64,15,0,79,43,20,7,70,543,293,125,961,0,1,0,1,0,44,0,44,1,0,0,1,30,0,0,30,1,6,3,10,30,217,169,416,18.13974984,1683.363431,15424.67132,19666.64321,2198.54344
Eastwick Library,43,39,15,1,508,315,250,1073,6,6,3,15,37,87,30,154,70,53,50,173,643,441,620,1704,1,0,10,11,26,0,95,121,0,0,0,0,0,0,0,0,1,0,15,16,26,0,146,172,313.5075457,599.271032,4774.007521,9819.491971,4831.767889
